order_id,total_price,unique_pizza_count,total_qty,order_date,unit_price,min_pizza_size,max_pizza_size,unique_category_count
1,13.25,1,1,1/1/2015,13.25,M,M,1
2,92,5,5,1/1/2015,18.4,M,L,4
3,37.25,2,2,1/1/2015,18.625,M,L,1
4,16.5,1,1,1/1/2015,16.5,M,M,1
5,16.5,1,1,1/1/2015,16.5,M,M,1
6,24.75,2,2,1/1/2015,12.375,S,S,2
7,12.5,1,1,1/1/2015,12.5,S,S,1
8,12.5,1,1,1/1/2015,12.5,S,S,1
9,143.25,9,9,1/1/2015,15.916666666666666,S,L,3
10,41,2,2,1/1/2015,20.5,L,L,2
11,73.5,4,4,1/1/2015,18.375,M,L,2
12,70.75,4,4,1/1/2015,17.6875,S,L,2
13,20.25,1,1,1/1/2015,20.25,L,L,1
14,12,1,1,1/1/2015,12,S,S,1
15,63.25,4,4,1/1/2015,15.8125,S,L,3
16,50.7,3,3,1/1/2015,16.900000000000002,S,L,3
17,184.5,10,11,1/1/2015,16.85,S,L,3
18,20.5,1,1,1/1/2015,20.5,L,L,1
19,40.75,2,2,1/1/2015,20.375,L,L,2
20,30.5,2,2,1/1/2015,15.25,S,L,2
21,20.5,1,1,1/1/2015,20.5,L,L,1
22,55.25,3,3,1/1/2015,18.416666666666668,M,L,3
23,12.75,1,1,1/1/2015,12.75,S,S,1
24,57.75,4,4,1/1/2015,14.4375,S,M,3
25,37,2,2,1/1/2015,18.5,M,L,2
26,32.25,2,2,1/1/2015,16.125,S,L,2
27,57,3,3,1/1/2015,19,M,L,3
28,12.75,1,1,1/1/2015,12.75,S,S,1
29,12,1,1,1/1/2015,12,S,S,1
30,20.75,1,1,1/1/2015,20.75,L,L,1
31,25.75,2,2,1/1/2015,12.875,S,M,2
32,69.25,4,4,1/1/2015,17.3125,S,L,3
33,32.75,2,2,1/1/2015,16.375,S,L,2
34,12,1,1,1/1/2015,12,S,S,1
35,66.75,4,4,1/1/2015,16.6875,M,L,3
36,32.75,2,2,1/1/2015,16.375,M,M,2
