pizza_id,order_id
hawaiian_m,1
classic_dlx_m,2
five_cheese_l,2
ital_supr_l,2
mexicana_m,2
thai_ckn_l,2
ital_supr_m,3
prsc_argla_l,3
ital_supr_m,4
ital_supr_m,5
bbq_ckn_s,6
the_greek_s,6
spinach_supr_s,7
spinach_supr_s,8
classic_dlx_s,9
green_garden_s,9
ital_cpcllo_l,9
ital_supr_l,9
ital_supr_s,9
mexicana_s,9
spicy_ital_l,9
spin_pesto_l,9
veggie_veg_s,9
mexicana_l,10
southw_ckn_l,10
bbq_ckn_l,11
cali_ckn_l,11
cali_ckn_m,11
pepperoni_l,11
cali_ckn_l,12
cali_ckn_s,12
ckn_pesto_l,12
ital_supr_m,12
mexicana_l,13
the_greek_s,14
big_meat_s,15
five_cheese_l,15
soppressata_l,15
the_greek_s,15
four_cheese_l,16
napolitana_s,16
thai_ckn_l,16
bbq_ckn_l,17
calabrese_m,17
five_cheese_l,17
four_cheese_m,17
ital_supr_m,17
ital_veggie_s,17
mediterraneo_m,17
mexicana_l,17
peppr_salami_s,17
spinach_fet_l,17
napolitana_l,18
ital_cpcllo_l,19
sicilian_l,19
big_meat_s,20
five_cheese_l,20
ital_cpcllo_l,21
five_cheese_l,22
ital_cpcllo_m,22
southw_ckn_l,22
southw_ckn_s,23
bbq_ckn_m,24
ital_cpcllo_m,24
pepperoni_m,24
prsc_argla_s,24
sicilian_m,25
thai_ckn_l,25
classic_dlx_s,26
veggie_veg_l,26
bbq_ckn_l,27
classic_dlx_m,27
spinach_fet_l,27
ckn_alfredo_s,28
green_garden_s,29
thai_ckn_l,30
mexicana_m,31
pepperoni_s,31
big_meat_s,32
green_garden_l,32
ital_cpcllo_l,32
ital_supr_m,32
bbq_ckn_l,33
green_garden_s,33
the_greek_s,34
green_garden_m,35
pep_msh_pep_l,35
pepperoni_m,35
thai_ckn_l,35
bbq_ckn_m,36
classic_dlx_m,36
ital_supr_l,37
mexicana_l,37
hawaiian_s,38
ital_cpcllo_l,38
ital_supr_l,39
four_cheese_l,40
southw_ckn_s,40
four_cheese_m,41
green_garden_s,41
big_meat_s,42
five_cheese_l,42
mexicana_l,42
peppr_salami_m,42
ckn_alfredo_m,43
ital_supr_m,43
peppr_salami_l,43
spin_pesto_s,44
four_cheese_l,45
hawaiian_s,45
thai_ckn_m,45
ckn_pesto_l,46
classic_dlx_l,46
thai_ckn_m,46
southw_ckn_l,47
veggie_veg_s,47
ckn_pesto_m,48
green_garden_s,48
prsc_argla_l,48
spicy_ital_l,48
sicilian_l,49
the_greek_xl,50
bbq_ckn_l,51
pep_msh_pep_l,51
hawaiian_l,52
mexicana_l,52
spicy_ital_l,52
pep_msh_pep_s,53
spinach_supr_m,53
prsc_argla_m,54
thai_ckn_l,54
peppr_salami_s,55
spicy_ital_l,55
classic_dlx_m,56
mediterraneo_l,56
southw_ckn_m,56
classic_dlx_m,57
five_cheese_l,58
pepperoni_m,58
ital_veggie_s,59
pep_msh_pep_s,59
pepperoni_l,59
ckn_pesto_l,60
four_cheese_m,60
bbq_ckn_m,61
ital_supr_l,61
bbq_ckn_m,62
spinach_supr_m,62
pep_msh_pep_m,63
big_meat_s,64
pep_msh_pep_s,65
sicilian_s,65
spicy_ital_s,65
spinach_supr_m,65
classic_dlx_m,66
ital_cpcllo_m,66
southw_ckn_l,67
classic_dlx_m,68
ital_supr_l,68
ital_supr_m,68
bbq_ckn_l,69
ital_veggie_s,70
soppressata_l,70
thai_ckn_l,71
spinach_fet_l,72
thai_ckn_s,73
five_cheese_l,74
mexicana_l,74
spin_pesto_s,74
spinach_supr_l,74
ital_supr_s,75
mediterraneo_l,75
napolitana_l,75
big_meat_s,76
hawaiian_l,76
ital_veggie_l,76
spicy_ital_l,76
bbq_ckn_m,77
hawaiian_m,77
big_meat_s,78
classic_dlx_s,78
four_cheese_l,78
ital_cpcllo_m,78
spicy_ital_l,78
thai_ckn_s,78
ital_cpcllo_l,79
pep_msh_pep_s,79
thai_ckn_l,79
pepperoni_s,80
thai_ckn_m,80
thai_ckn_l,81
big_meat_s,82
cali_ckn_m,82
spicy_ital_l,82
veggie_veg_m,82
southw_ckn_s,83
pepperoni_l,84
classic_dlx_m,85
classic_dlx_s,85
ital_supr_l,85
the_greek_m,85
hawaiian_l,86
ital_cpcllo_m,87
mexicana_m,87
spinach_supr_l,87
spinach_supr_s,87
five_cheese_l,88
soppressata_l,89
thai_ckn_l,89
sicilian_l,90
thai_ckn_s,90
bbq_ckn_l,91
ckn_pesto_s,91
pepperoni_s,91
bbq_ckn_m,92
ital_supr_l,92
ital_supr_m,92
ital_veggie_s,92
pepperoni_m,92
peppr_salami_m,92
spinach_fet_s,92
spinach_supr_s,92
the_greek_m,92
sicilian_m,93
ital_cpcllo_m,94
southw_ckn_s,94
napolitana_s,95
peppr_salami_l,95
napolitana_s,96
big_meat_s,97
classic_dlx_l,98
napolitana_l,98
ital_supr_l,99
hawaiian_l,100
cali_ckn_l,101
pepperoni_l,101
soppressata_l,101
spicy_ital_m,101
bbq_ckn_s,102
prsc_argla_s,102
spinach_supr_s,103
bbq_ckn_m,104
ckn_alfredo_m,104
ital_veggie_m,104
veggie_veg_l,104
hawaiian_s,105
pepperoni_l,105
prsc_argla_m,105
mexicana_l,106
spicy_ital_l,106
cali_ckn_l,107
ital_supr_m,107
spicy_ital_l,107
veggie_veg_l,107
classic_dlx_l,108
hawaiian_l,108
spinach_supr_l,108
ital_cpcllo_l,109
ital_supr_l,109
pepperoni_m,109
prsc_argla_l,109
big_meat_s,110
napolitana_l,110
soppressata_l,110
spicy_ital_s,110
cali_ckn_m,111
five_cheese_l,111
pepperoni_m,111
spin_pesto_l,111
pepperoni_s,112
cali_ckn_l,113
mexicana_l,113
southw_ckn_m,113
pepperoni_l,114
sicilian_s,114
big_meat_s,115
napolitana_l,115
thai_ckn_m,115
five_cheese_l,116
peppr_salami_m,117
sicilian_l,117
prsc_argla_l,118
spinach_fet_s,118
four_cheese_m,119
classic_dlx_s,120
hawaiian_s,120
spinach_fet_l,120
bbq_ckn_m,121
four_cheese_l,121
sicilian_l,121
southw_ckn_l,121
ital_supr_m,122
ital_cpcllo_s,123
bbq_ckn_s,124
sicilian_l,124
spicy_ital_l,124
the_greek_s,124
the_greek_xl,125
veggie_veg_l,126
pepperoni_m,127
spicy_ital_s,128
big_meat_s,129
the_greek_m,129
hawaiian_s,130
ital_cpcllo_l,130
mexicana_m,130
southw_ckn_s,130
ckn_pesto_l,131
five_cheese_l,131
green_garden_s,131
spinach_supr_s,131
pepperoni_s,132
bbq_ckn_l,133
hawaiian_l,133
the_greek_s,133
