pizza_id,pizza_name,Qty,unit_price,total_price,pizza_size,ingredients
hawaiian_m,The Hawaiian Pizza,483,13.25,6399.75,M,"Sliced Ham, Pineapple, Mozzarella Cheese"
classic_dlx_m,The Classic Deluxe Pizza,1181,16,18896,M,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
five_cheese_l,The Five Cheese Pizza,1409,18.5,26066.5,L,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
ital_supr_l,The Italian Supreme Pizza,747,20.75,15500.25,L,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
mexicana_m,The Mexicana Pizza,455,16,7280,M,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
thai_ckn_l,The Thai Chicken Pizza,1410,20.75,29257.5,L,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
ital_supr_m,The Italian Supreme Pizza,941,16.5,15526.5,M,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
prsc_argla_l,The Prosciutto and Arugula Pizza,435,20.75,9026.25,L,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
bbq_ckn_s,The Barbecue Chicken Pizza,484,12.75,6171,S,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
the_greek_s,The Greek Pizza,304,12,3648,S,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
spinach_supr_s,The Spinach Supreme Pizza,400,12.5,5000,S,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
classic_dlx_s,The Classic Deluxe Pizza,799,12,9588,S,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
green_garden_s,The Green Garden Pizza,600,12,7200,S,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
ital_cpcllo_l,The Italian Capocollo Pizza,732,20.5,15006,L,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
